TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantType,qCaretaker,qCareAssistant,PlantDate,DBH,PlotSize,PermitNotes,XCoord,YCoord,Latitude,Longitude,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old),Analysis Neighborhoods
92418,DPW Maintained,Cordyline australis :: Dracena Palm,1242 38th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,07/29/2009 12:00:00 AM,3,3x3,Permit Number 52811,5984306.481,2106711.578,37.76372021,-122.4974864,"(37.76372021453551, -122.49748642146066)",1,8,3,56,35,35
47200,DPW Maintained,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,2801X Clement St,2,Sidewalk: Curb side : Cutout,Tree,SFUSD,DPW for City Agency,05-08-2002 00:00,6,3x3,Permit Number 45157,5986636.79,2113215.624,37.78171481,-122.4899051,"(37.78171480815867, -122.48990509958604)",11,6,2,55,26,29
41072,Permitted Site,Fraxinus oxycarpa 'Raywood' :: Raywood Ash,265 10th St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/16/2013 12:00:00 AM,14,3x3,Permit Number 771003,6008704.935,2109691.025,37.77330096,-122.4133101,"(37.77330096190186, -122.41331011810959)",8,2,9,28853,34,34
37825,DPW Maintained,Lagunaria patersonii :: Primrose Tree,450X Moscow St,13,Sidewalk: Property side : Cutout,Tree,SFUSD,DPW for City Agency,07-07-1998 00:00,3,3x3,Permit Number 40134,6003912.017,2090448.662,37.72019564,-122.4285176,"(37.72019563989993, -122.42851763507831)",9,7,6,28861,5,7
51363,DPW Maintained,Crataegus phaenopyrum :: Washington Hawthorn,50 Pomona St,9,Sidewalk: Curb side : Cutout,Tree,SFUSD,DPW for City Agency,10-12-2004 00:00,3,3x3,Permit Number 47704,6014143.519,2094573.188,37.73209446,-122.393439,"(37.732094457482276, -122.39343897074946)",10,3,8,58,1,1
43572,Permitted Site,Prunus cerasifera :: Cherry Plum,155 Clipper St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,07/20/2000 12:00:00 AM,5,3x3,Permit Number 43233,6004160.076,2100988.241,37.74914898,-122.428411,"(37.74914897789558, -122.42841099739611)",2,4,5,28862,22,22
46962,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1530 43rd Ave,15,Sidewalk: Curb side : Cutout,Tree,SFUSD,DPW for City Agency,05-01-2002 00:00,6,3x25,Permit Number 44987,5982828.255,2104700.398,37.75811133,-122.5024502,"(37.758111331314424, -122.50245020588672)",1,8,3,56,35,35
68687,DPW Maintained,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,133 12th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,01-06-2014 00:00,1,6x6,Permit Number 771044,5992088.871,2114507.136,37.78557779,-122.4711378,"(37.78557778765837, -122.47113776705639)",11,6,2,54,11,11
39310,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,399X Treat Ave,17,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/21/1998 12:00:00 AM,10,3x3,Permit Number 40887,6008691.772,2106524.443,37.76460553,-122.4131317,"(37.76460552609833, -122.41313169674713)",8,4,7,28859,19,20
46067,DPW Maintained,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,665 07th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12-07-2001 00:00,14,6x12,Permit Number 44452,5993766.279,2110973.257,37.77597159,-122.4650777,"(37.77597158978587, -122.46507771057522)",11,6,2,54,11,11
